Id  , Concurso                                                          , Data      , bola1, bola2, bola3, bola4, bola5, bola6, bola7, bola8, bola9, bola10, bola11, bola12, bola13, bola14, bola15, bola16, bola17, bola18, bola19, bola20, bola21, bola22, bola23, bola24, bola25
2253, "2278                                                            ", 10/07/2021, A    , R    , A    , N    , A    , N    , N    , A    , A    , R     , R     , R     , R     , R     , A     , N     , R     , R     , A     , N     , R     , A     , A     , R     , A
2254, "2279                                                            ", 12/07/2021, N    , A    , N    , A    , N    , A    , A    , N    , A    , R     , R     , A     , R     , R     , N     , R     , R     , R     , A     , A     , R     , N     , A     , A     , N
2255, "2280                                                            ", 13/07/2021, A    , N    , R    , N    , A    , A    , N    , A    , N    , A     , A     , N     , A     , A     , A     , R     , A     , R     , N     , N     , R     , R     , N     , N     , R
2256, "2281                                                            ", 14/07/2021, A    , R    , R    , A    , N    , N    , R    , A    , R    , N     , N     , A     , A     , N     , N     , R     , N     , R     , A     , R     , R     , A     , A     , A     , A
2257, "2282                                                            ", 15/07/2021, N    , R    , A    , N    , R    , R    , A    , A    , A    , R     , R     , N     , N     , R     , A     , A     , A     , R     , A     , R     , R     , A     , N     , N     , A
2258, "2283                                                            ", 16/07/2021, R    , R    , A    , A    , R    , A    , N    , A    , N    , R     , R     , A     , A     , A     , N     , A     , N     , R     , N     , R     , A     , N     , R     , A     , N
2259, "2284                                                            ", 17/07/2021, R    , A    , N    , N    , A    , A    , A    , N    , R    , R     , R     , A     , A     , N     , R     , A     , R     , A     , R     , R     , N     , A     , R     , N     , A
2260, "2285                                                            ", 19/07/2021, R    , N    , A    , A    , A    , N    , N    , R    , A    , R     , A     , N     , N     , A     , R     , N     , A     , N     , A     , R     , A     , N     , R     , R     , A
2261, "2286                                                            ", 20/07/2021, A    , R    , N    , A    , A    , R    , A    , R    , A    , A     , N     , R     , R     , A     , R     , R     , N     , A     , A     , R     , A     , R     , R     , R     , N
2262, "2287                                                            ", 21/07/2021, N    , A    , R    , N    , A    , R    , N    , A    , N    , N     , R     , R     , A     , N     , A     , R     , R     , N     , N     , A     , A     , A     , A     , A     , R
2263, "2288                                                            ", 22/07/2021, R    , N    , R    , A    , N    , A    , R    , A    , R    , R     , R     , R     , A     , R     , A     , A     , A     , A     , R     , N     , N     , N     , A     , A     , R
2264, "2289                                                            ", 23/07/2021, R    , R    , A    , A    , R    , A    , R    , N    , A    , R     , A     , R     , A     , R     , N     , N     , N     , A     , R     , R     , A     , R     , A     , A     , R
2265, "2290                                                            ", 24/07/2021, A    , R    , N    , N    , R    , A    , A    , R    , N    , R     , N     , A     , N     , A     , R     , A     , A     , A     , R     , A     , A     , R     , N     , N     , R
2266, "2291                                                            ", 26/07/2021, N    , A    , A    , A    , R    , N    , N    , A    , R    , A     , A     , N     , R     , N     , A     , N     , N     , A     , R     , N     , N     , A     , A     , R     , R
2267, "2292                                                            ", 27/07/2021, A    , A    , N    , A    , R    , R    , R    , A    , R    , N     , N     , R     , R     , A     , A     , A     , A     , N     , R     , R     , A     , N     , N     , R     , A
2268, "2293                                                            ", 28/07/2021, N    , N    , A    , N    , R    , A    , A    , N    , R    , A     , R     , R     , R     , A     , A     , N     , A     , R     , R     , R     , N     , R     , A     , A     , A
2269, "2294                                                            ", 29/07/2021, A    , A    , A    , A    , A    , N    , N    , R    , A    , N     , R     , R     , A     , A     , N     , R     , N     , R     , R     , A     , A     , R     , N     , N     , N
2270, "2295                                                            ", 30/07/2021, N    , N    , A    , A    , A    , R    , A    , A    , N    , R     , R     , R     , N     , N     , A     , R     , R     , A     , A     , N     , A     , A     , R     , R     , R
2271, "2296                                                            ", 31/07/2021, A    , R    , N    , N    , A    , A    , A    , N    , R    , R     , A     , R     , A     , R     , N     , R     , A     , N     , A     , A     , N     , N     , R     , R     , A
2272, "2297                                                            ", 02/08/2021, A    , R    , R    , A    , A    , A    , N    , A    , R    , A     , N     , A     , N     , R     , R     , A     , N     , R     , A     , N     , R     , R     , A     , R     , N
